,maxAge,priceHint,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,beta,category,fundFamily,legalType,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,lastSplitFactor,52WeekChange,SandP52WeekChange,forwardPE,shortPercentOfFloat,bookValue,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda
AACG,1,4,36529388,-1.0074099,6474176,31738400,53091,25753,2020-05-28 20:00:00,2020-06-29 20:00:00,0.0005,0.0,0.00458,0.12,1.279503,,,,2019-12-30 19:00:00,2021-12-30 19:00:00,2020-03-30 20:00:00,,-0.5538461,0.0644362,,,,,,,,,,
AACQU,1,2,136779936,0.0,,,,,,,,,,,,,,,,,2020-03-30 20:00:00,,0.0019322634,0.0644362,,,,,,,,,,
AAL,1,2,36028510208,-0.10398,502361802,508110016,143689854,126978230,2020-05-28 20:00:00,2020-06-29 20:00:00,0.28280002,0.01165,0.84803003,1.02,1.729971,,,,2019-12-30 19:00:00,2021-12-30 19:00:00,2020-06-29 20:00:00,0:1,-0.629473,0.0644362,-5.372642,0.41099998,-6.231,-3468999936,-8.016,-2.12,0.03,2013-12-08 19:00:00,1.08,-42.237
